label_type,count,ratio
Bug,516,36.235955056179776
Needs Triage,226,15.870786516853933
Docs,167,11.72752808988764
Enhancement,127,8.918539325842696
Closing Candidate,125,8.77808988764045
Needs Info,69,4.845505617977528
good first issue,52,3.651685393258427
Strings,48,3.3707865168539324
Build,47,3.300561797752809
Arrow,47,3.300561797752809
